,spring_z_ndvi,lon,lat
6363,2.453,-110.1151134,31.48002321
6384,2.196,-110.0106091,31.49326861
6405,2.11,-109.9060706,31.50641594
6426,2.776,-109.8014982,31.51946517
6447,2.832,-109.6968921,31.53241626
6468,2.588,-109.5922526,31.54526917
6489,2.442,-109.4875799,31.55802385
6510,1.736,-109.3828742,31.57068028
6531,2.268,-109.2781358,31.58323841
6552,2.222,-109.173365,31.59569821
6573,2.289,-109.0685619,31.60805963
6594,1.89,-110.4444077,31.52850137
6615,2.039,-110.339895,31.54205332
6636,2.165,-110.2353474,31.55550725
6657,2.771,-110.1307651,31.56886311
6678,2.448,-110.0261482,31.58212087
6699,2.159,-109.9214971,31.59528048
6720,2.783,-109.816812,31.60834191
6741,2.807,-109.7120931,31.62130511
6762,2.553,-109.6073407,31.63417005
6783,1.985,-109.502555,31.64693668
6804,2.011,-109.3977362,31.65960496
6825,1.993,-109.2928845,31.67217487
6846,2.357,-109.1880003,31.68464635
6867,2.518,-109.0830837,31.69701937
6888,2.407,-110.3558063,31.63085116
6909,2.723,-110.2511461,31.64431767
6930,2.357,-110.1464512,31.65768603
6951,2.468,-110.0417216,31.6709562
6972,2.244,-109.9369577,31.68412814
6993,2.393,-109.8321597,31.69720182
7014,2.941,-109.7273277,31.71017718
7035,2.937,-109.6224621,31.72305419
7056,2.118,-109.5175631,31.73583282
7077,1.962,-109.4126309,31.74851301
7098,0.69,-109.202668,31.77357796
7119,2.408,-109.0976377,31.78596264
7140,2.05,-110.3717526,31.71963206
7161,2.426,-110.2669797,31.73311121
7182,2.519,-110.1621719,31.74649212
7203,2.285,-110.0573294,31.75977476
7224,1.848,-109.9524524,31.77295909
7245,2.213,-109.8475412,31.78604506
7266,3.221,-109.7425959,31.79903264
7287,2.814,-109.6376169,31.81192178
7308,2.603,-109.5326044,31.82471245
7329,1.838,-109.4275586,31.8374046
7350,0.565,-109.3224797,31.84999821
7371,1.359,-109.2173681,31.86249322
7392,2.137,-109.1122239,31.87488959
7413,1.96,-110.3877341,31.8083962
7434,2.483,-110.2828483,31.82188804
7455,2.603,-110.1779274,31.83528156
7476,2.308,-110.0729717,31.84857672
7497,1.987,-109.9679814,31.86177348
7518,2.592,-109.8629567,31.8748718
7539,2.884,-109.757898,31.88787165
7560,2.483,-109.6528053,31.90077297
7581,2.814,-109.547679,31.91357574
7602,1.92,-109.4425193,31.9262799
7623,1.701,-109.3373265,31.93888543
7644,1.842,-109.2321008,31.95139228
7665,2.055,-109.1268424,31.96380041
7686,1.914,-110.4037509,31.89714375
7707,2.182,-110.2987519,31.91064832
7728,2.353,-110.1937177,31.9240545
7749,2.293,-110.0886486,31.93736224
7770,1.658,-109.9835447,31.95057149
7791,2.345,-109.8784064,31.96368221
7812,2.731,-109.7732338,31.97669438
7833,2.604,-109.6680273,31.98960794
7854,2.232,-109.562787,32.00242285
7875,2.17,-109.4575132,32.01513908
7896,1.535,-109.3522062,32.02775658
7917,1.838,-109.2468661,32.04027532
7938,1.944,-109.1414933,32.05269526
7959,1.751,-110.4198031,31.98587486
7980,2.407,-110.3146907,31.99939223
8001,2.43,-110.2095429,32.01281112
8022,2.226,-110.1043601,32.02613149
8043,2.07,-109.9991425,32.03935328
8064,2.762,-109.8938903,32.05247646
8085,2.323,-109.7886037,32.065501
8106,2.732,-109.683283,32.07842684
8127,2.283,-109.5779285,32.09125396
8148,1.983,-109.4725404,32.1039823
8169,1.531,-109.3671189,32.11661183
8190,2.025,-109.2616642,32.12914251
8211,2.086,-109.1561767,32.1415743
8232,2.387,-109.0506565,32.15390716
8253,1.715,-110.4358909,32.07458971
8274,2.15,-110.3306648,32.08811993
8295,2.02,-110.2254033,32.10155159
8316,1.963,-110.1201065,32.11488463
8337,2.134,-110.0147748,32.12811902
8358,2.279,-109.9094085,32.14125472
8379,2.829,-109.8040077,32.15429168
8400,2.708,-109.6985726,32.16722986
8421,2.122,-109.5931036,32.18006923
8442,2.013,-109.4876009,32.19280973
8463,2.2,-109.3820647,32.20545134
8484,2.397,-109.2764952,32.21799401
8505,2.777,-109.1708928,32.2304377
8526,2.367,-109.0652576,32.24278238
8547,1.727,-110.3466743,32.17683159
8568,1.739,-110.2412987,32.19027607
8589,1.675,-110.1358879,32.20362185
8610,1.934,-110.0304419,32.21686889
8631,2.165,-109.9249612,32.23001715
8652,2.294,-109.8194458,32.24306658
8673,2.598,-109.7138962,32.25601716
8694,2.062,-109.6083124,32.26886883
8715,2.389,-109.5026949,32.28162155
8736,2.474,-109.3970437,32.29427529
8757,2.676,-109.2913592,32.30683
8778,2.787,-109.1856416,32.31928565
8799,2.224,-109.0798911,32.33164219
8820,1.635,-110.3627194,32.26552738
8841,1.671,-110.2572295,32.27898473
8862,1.42,-110.1517042,32.2923433
8883,1.635,-110.0461438,32.30560304
8904,1.855,-109.9405484,32.31876392
8925,2.273,-109.8349183,32.33182588
8946,2.195,-109.7292538,32.3447889
8967,2.513,-109.6235551,32.35765293
8988,2.785,-109.5178225,32.37041792
9009,2.955,-109.4120561,32.38308384
9030,2.659,-109.3062563,32.39565065
9051,2.4,-109.2004233,32.4081183
9072,2.215,-109.0945573,32.42048676
9093,1.158,-110.3788001,32.35420745
9114,1.611,-110.2731957,32.36767774
9135,1.43,-110.1675558,32.38104915
9156,1.603,-110.0618806,32.39432165
9177,1.576,-109.9561703,32.4074952
9198,1.777,-109.8504253,32.42056975
9219,0.554,-110.8499893,34.28766899
9240,0.386,-111.4254906,34.39335359
9261,1.182,-111.2090685,34.42205874
9282,1.609,-111.1007976,34.43626014
9303,1.351,-111.0097402,34.53867447
9324,1.241,-110.9012699,34.55268868
9345,1.354,-110.7927605,34.56660183
9366,1.359,-111.460999,34.56985111
9387,1.881,-111.3525677,34.58428403
9408,0.842,-111.244096,34.598616
9429,1.587,-111.0270327,34.6269769
9450,1.559,-110.9184416,34.64100574
9471,1.449,-110.8098112,34.65493343
9492,1.31,-111.478814,34.65808263
9513,1.565,-111.3702622,34.67253062
9534,1.17,-111.2616699,34.68687757
9555,1.555,-111.1530373,34.70112343
9576,1.593,-111.0443648,34.71526815
9597,1.801,-110.9356526,34.72931168
9618,2.142,-110.826901,34.74325398
9639,0.9,-111.4966698,34.74630289
9660,1.278,-111.2792839,34.77512801
9681,1.903,-111.1705303,34.78938882
9702,1.263,-111.0617366,34.8035484
9723,1.703,-110.952903,34.81760668
9744,1.663,-110.8440299,34.83156364
9765,1.495,-111.7320306,34.80525192
9786,1.446,-111.6233192,34.81993255
9807,0.286,-111.4057728,34.84899039
9828,1.076,-111.2969383,34.8633675
9849,1.688,-111.1880633,34.87764332
9870,1.128,-111.0791482,34.89181781
9891,1.09,-110.970193,34.90589092
9912,1.254,-110.8611982,34.91986259
9933,1.822,-110.7521639,34.93373278
9954,1.647,-111.7502105,34.89341936
9975,0.64,-111.6413781,34.90811545
9996,0.351,-111.5325042,34.92271033
10017,0.37,-111.4235891,34.93720393
10038,0.897,-111.3146332,34.9515962
10059,1.121,-111.2056366,34.9658871
10080,1.316,-111.0965997,34.98007657
10101,1.165,-110.9875227,34.99416456
10122,1.257,-110.8784058,35.00815102
10143,0.953,-110.7692494,35.0220359
10164,0.335,-111.6594783,34.99628755
10185,0.669,-111.4414464,35.02540679
10206,0.923,-111.3323687,35.0398143
10227,0.81,-111.2232503,35.05412034
10248,0.823,-111.1140914,35.06832485
10269,1.111,-111.0048922,35.08242779
10290,0.951,-110.8956531,35.0964291
10311,1.098,-110.7863742,35.11032873
10332,1.02,-112.3314375,34.99456642
10353,1.847,-112.2225746,35.0097999
10374,1.787,-112.1136687,35.02493223
10395,1.388,-112.00472,35.03996336
10416,1.487,-111.8957289,35.05489324
10437,0.557,-111.7866955,35.06972182
10458,0.817,-111.5685031,35.09907483
10479,0.978,-111.4593447,35.11359916
10500,0.315,-111.350145,35.12802197
10521,0.646,-111.2409045,35.14234322
10542,0.425,-111.1316233,35.15656284
10563,0.68,-111.0223017,35.17068079
10584,0.896,-110.91294,35.18469701
10605,0.457,-110.8035385,35.19861146
10626,1.638,-112.2413658,35.09787168
10647,1.506,-112.1323387,35.11302006
10668,0.806,-112.0232686,35.12806714
10689,1.346,-111.9141559,35.14301286
10710,0.978,-111.8050009,35.15785719
10731,0.975,-111.6958037,35.17260006
10752,1.221,-111.5865647,35.18724142
10773,1.109,-111.4772841,35.20178122
10794,0.842,-111.3679622,35.2162194
10815,0.821,-111.2585993,35.23055591
10836,0.865,-111.1491955,35.24479071
10857,1.452,-111.0397513,35.25892373
10878,1.245,-110.9302668,35.27295493
10899,1.507,-110.8207423,35.28688426
10920,1.231,-112.3693056,35.17066704
10941,1.261,-112.2602002,35.18593286
10962,2.147,-112.1510516,35.20109734
10983,1.235,-112.0418598,35.21616044
11004,0.623,-111.9326253,35.23112208
11025,0.029,-111.8233483,35.24598223
11046,0.79,-111.7140291,35.26074083
11067,1.675,-111.6046678,35.27539781
11088,1.174,-111.4952649,35.28995314
11109,0.806,-111.3858204,35.30440676
11130,0.125,-111.2763348,35.31875861
11151,0.426,-111.1668083,35.33300864
11172,0.92,-111.0572411,35.3471568
11193,0.561,-110.9476336,35.36120304
11214,0.504,-110.8379859,35.37514731
11235,1.283,-112.4974882,35.24331805
11256,1.323,-112.3883049,35.25870152
11277,0.995,-112.2790779,35.27398361
11298,1.527,-112.1698075,35.28916427
11319,1.258,-112.0604938,35.30424345
11340,0.936,-111.9511373,35.31922108
11361,0.704,-111.8417381,35.33409711
11382,0.956,-111.7322964,35.3488715
11403,0.375,-111.6228127,35.36354418
11424,1.902,-111.5132871,35.37811511
11445,0.164,-111.4037199,35.39258422
11466,0.045,-111.2941113,35.40695147
11487,0.275,-111.1844617,35.4212168
11508,0.24,-111.0747713,35.43538017
11529,0.585,-110.9650404,35.44944152
11550,-0.003,-110.8552693,35.46340079
11571,1.41,-112.6259139,35.31582444
11592,1.477,-112.516653,35.33132576
11613,1.629,-112.407348,35.34672567
11634,1.423,-112.2979991,35.36202411
11655,1.803,-112.1886066,35.37722102
11676,1.645,-112.0791708,35.39231634
11697,1.198,-111.9696919,35.40731003
11718,-0.238,-111.8601702,35.42220202
11739,0.625,-111.7506059,35.43699226
11760,0.531,-111.6409994,35.45168071
11781,0.73,-111.5313509,35.46626729
11802,0.737,-111.4216606,35.48075197
11823,0.659,-111.3119289,35.49513469
11844,0.521,-111.202156,35.50941539
11865,0.464,-111.0923421,35.52359403
11886,0.249,-110.9824876,35.53767054
11907,-0.32,-110.8725926,35.55164488
11928,-0.061,-110.7626576,35.565517
11949,0.967,-112.8638762,35.37246516
11970,1.407,-112.7545828,35.38818595
11991,1.193,-112.6452446,35.40380534
12012,1.265,-112.5358619,35.41932327
12033,1.279,-112.4264349,35.43473968
12054,1.244,-112.3169638,35.45005453
12075,1.422,-112.2074491,35.46526775
12096,1.385,-112.0978908,35.4803793
12117,1.383,-111.9882893,35.49538911
12138,1.389,-111.8786448,35.51029712
12159,1.098,-111.7689577,35.52510329
12180,0.531,-111.6592282,35.53980757
12201,0.573,-111.5494565,35.55440988
12222,0.066,-111.4396429,35.56891019
12243,0.662,-111.3297877,35.58330844
12264,0.525,-111.2198911,35.59760458
12285,0.504,-111.1099535,35.61179855
12306,-0.114,-110.9999751,35.6258903
12327,-0.278,-110.8899561,35.63987977
12348,-0.404,-110.7798969,35.65376693
12369,1.291,-112.9928653,35.44456322
12390,1.264,-112.8834953,35.46040231
12411,1.623,-112.7740801,35.47613997
12432,1.022,-112.6646199,35.49177612
12453,1.235,-112.5551151,35.50731073
12474,1.049,-112.4455658,35.52274373
12495,1.112,-112.3359724,35.53807506
12516,1.306,-112.226335,35.55330466
12537,0.98,-112.116654,35.5684325
12558,0.85,-112.0069297,35.58345849
12579,0.849,-111.8971622,35.5983826
12600,0.94,-111.7873519,35.61320477
12621,0.942,-111.677499,35.62792494
12642,0.616,-111.5676039,35.64254305
12663,0.114,-111.4576667,35.65705906
12684,-0.046,-111.3476878,35.67147291
12705,0.091,-111.2376673,35.68578455
12726,0.242,-111.1276057,35.69999391
12747,0.45,-111.0175031,35.71410096
12768,-0.271,-110.9073599,35.72810564
12789,-0.131,-110.7971762,35.74200789
12810,1.039,-113.1220978,35.51651566
12831,1.231,-113.0126515,35.53247326
12852,1.096,-112.9031596,35.54832939
12873,1.621,-112.7936223,35.56408398
12894,1.374,-112.6840399,35.57973698
12915,1.304,-112.5744127,35.59528833
12936,1.196,-112.4647409,35.61073798
12957,1.016,-112.3550248,35.62608586
12978,0.926,-112.2452646,35.64133192
12999,0.923,-112.1354606,35.65647611
13020,1.303,-112.0256131,35.67151837
13041,0.883,-111.9157224,35.68645864
13062,0.492,-111.8057887,35.70129687
13083,0.904,-111.6958122,35.716033
13104,0.568,-111.5857934,35.73066698
13125,-0.048,-111.4757323,35.74519876
13146,-0.098,-111.3656294,35.75962827
13167,0.163,-111.2554848,35.77395547
13188,0.155,-111.1452988,35.78818031
13209,0.449,-111.0350718,35.80230272
13230,-0.265,-110.924804,35.81632266
13251,0.029,-110.8144956,35.83024008
13272,1.238,-113.2515739,35.5883222
13293,0.99,-113.1420516,35.60439852
13314,1.28,-113.0324834,35.62037333
13335,1.275,-112.9228693,35.63624656
13356,1.284,-112.8132097,35.65201817
13377,1.21,-112.7035048,35.66768808
13398,1.243,-112.5937549,35.68325625
13419,0.938,-112.4839603,35.69872262
13440,0.799,-112.3741212,35.71408712
13461,0.686,-112.2642379,35.72934971
13482,0.716,-112.1543107,35.74451033
