spring_delta_ndvi,lon,lat,geometry
30.525,-109.50256,31.6469367,Point
24.101,-109.39774,31.659605,Point
31.353,-109.29288,31.6721749,Point
43.272,-109.188,31.6846464,Point
49.923,-109.08308,31.6970194,Point
35.871,-110.35581,31.6308512,Point
26.624,-110.25115,31.6443177,Point
33.998,-110.14645,31.657686,Point
36.335,-110.04172,31.6709562,Point
37.903,-109.93696,31.6841281,Point
38.504,-109.83216,31.6972018,Point
39.806,-109.72733,31.7101772,Point
44.897,-109.62246,31.7230542,Point
34.036,-109.51756,31.7358328,Point
25.378,-109.41263,31.748513,Point
10.044,-109.20267,31.773578,Point
38.863,-109.09764,31.7859626,Point
25.242,-110.37175,31.7196321,Point
25.249,-110.26698,31.7331112,Point
37.122,-110.16217,31.7464921,Point
36.177,-110.05733,31.7597748,Point
32.934,-109.95245,31.7729591,Point
33.179,-109.84754,31.7860451,Point
46.626,-109.7426,31.7990326,Point
45.632,-109.63762,31.8119218,Point
40.784,-109.5326,31.8247125,Point
25.864,-109.42756,31.8374046,Point
4.593,-109.32248,31.8499982,Point
11.364,-109.21737,31.8624932,Point
32.558,-109.11222,31.8748896,Point
26.14,-110.38773,31.8083962,Point
33.229,-110.28285,31.821888,Point
33.151,-110.17793,31.8352816,Point
35.133,-110.07297,31.8485767,Point
22.499,-109.96798,31.8617735,Point
44.765,-109.86296,31.8748718,Point
54.503,-109.7579,31.8878717,Point
48.176,-109.65281,31.900773,Point
51.713,-109.54768,31.9135757,Point
27.032,-109.44252,31.9262799,Point
20.173,-109.33733,31.9388854,Point
20.794,-109.2321,31.9513923,Point
29.507,-109.12684,31.9638004,Point
31.146,-110.40375,31.8971438,Point
30.952,-110.29875,31.9106483,Point
29.104,-110.19372,31.9240545,Point
37.716,-110.08865,31.9373622,Point
17.719,-109.98354,31.9505715,Point
37.737,-109.87841,31.9636822,Point
49.696,-109.77323,31.9766944,Point
53.584,-109.66803,31.9896079,Point
46.183,-109.56279,32.0024229,Point
40.965,-109.45751,32.0151391,Point
22.1,-109.35221,32.0277566,Point
26.069,-109.24687,32.0402753,Point
25.6,-109.14149,32.0526953,Point
30.675,-110.4198,31.9858749,Point
32.382,-110.31469,31.9993922,Point
37.747,-110.20954,32.0128111,Point
31.001,-110.10436,32.0261315,Point
36.437,-109.99914,32.0393533,Point
46.843,-109.89389,32.0524765,Point
36.025,-109.7886,32.065501,Point
51.16,-109.68328,32.0784268,Point
48.863,-109.57793,32.091254,Point
36.841,-109.47254,32.1039823,Point
19.189,-109.36712,32.1166118,Point
33.543,-109.26166,32.1291425,Point
26.599,-109.15618,32.1415743,Point
26.627,-109.05066,32.1539072,Point
26.776,-110.43589,32.0745897,Point
36.14,-110.33066,32.0881199,Point
35.938,-110.2254,32.1015516,Point
30.998,-110.12011,32.1148846,Point
35.178,-110.01477,32.128119,Point
39.299,-109.90941,32.1412547,Point
48.174,-109.80401,32.1542917,Point
51.15,-109.69857,32.1672299,Point
39.384,-109.5931,32.1800692,Point
30.648,-109.4876,32.1928097,Point
40.662,-109.38206,32.2054513,Point
41.61,-109.2765,32.217994,Point
33.198,-109.17089,32.2304377,Point
40.181,-109.06526,32.2427824,Point
28.431,-110.34667,32.1768316,Point
30.159,-110.2413,32.1902761,Point
30.767,-110.13589,32.2036219,Point
37.553,-110.03044,32.2168689,Point
38.068,-109.92496,32.2300172,Point
34.372,-109.81945,32.2430666,Point
43.803,-109.7139,32.2560172,Point
28.08,-109.60831,32.2688688,Point
37.386,-109.50269,32.2816216,Point
31.086,-109.39704,32.2942753,Point
37.771,-109.29136,32.30683,Point
42.973,-109.18564,32.3192857,Point
34.763,-109.07989,32.3316422,Point
27.102,-110.36272,32.2655274,Point
29.143,-110.25723,32.2789847,Point
29.397,-110.1517,32.2923433,Point
23.683,-110.04614,32.305603,Point
32.797,-109.94055,32.3187639,Point
45.241,-109.83492,32.3318259,Point
53.55,-109.72925,32.3447889,Point
57.568,-109.62356,32.3576529,Point
53.32,-109.51782,32.3704179,Point
42.391,-109.41206,32.3830838,Point
38.62,-109.30626,32.3956507,Point
38.858,-109.20042,32.4081183,Point
38.444,-109.09456,32.4204868,Point
17.468,-110.3788,32.3542075,Point
26.379,-110.2732,32.3676777,Point
27.609,-110.16756,32.3810492,Point
25.483,-110.06188,32.3943217,Point
27.053,-109.95617,32.4074952,Point
38.585,-109.85043,32.4205698,Point
5.667,-110.84999,34.287669,Point
2.575,-111.42549,34.3933536,Point
8.234,-111.20907,34.4220587,Point
14.519,-111.1008,34.4362601,Point
9.927,-111.00974,34.5386745,Point
9.33,-110.90127,34.5526887,Point
6.904,-110.79276,34.5666018,Point
10.452,-111.461,34.5698511,Point
10.978,-111.35257,34.584284,Point
5.533,-111.2441,34.598616,Point
7.216,-111.02703,34.6269769,Point
7.997,-110.91844,34.6410057,Point
10.186,-110.80981,34.6549334,Point
11.163,-111.47881,34.6580826,Point
9.545,-111.37026,34.6725306,Point
8.726,-111.26167,34.6868776,Point
10.034,-111.15304,34.7011234,Point
13.705,-111.04436,34.7152682,Point
13.47,-110.93565,34.7293117,Point
21.104,-110.8269,34.743254,Point
8.71,-111.49667,34.7463029,Point
9.658,-111.27928,34.775128,Point
14.133,-111.17053,34.7893888,Point
11.708,-111.06174,34.8035484,Point
12.472,-110.9529,34.8176067,Point
17.461,-110.84403,34.8315636,Point
10.552,-111.73203,34.8052519,Point
10.808,-111.62332,34.8199326,Point
1.834,-111.40577,34.8489904,Point
9.73,-111.29694,34.8633675,Point
9.387,-111.18806,34.8776433,Point
9.656,-111.07915,34.8918178,Point
9.136,-110.97019,34.9058909,Point
11.084,-110.8612,34.9198626,Point
12.64,-110.75216,34.9337328,Point
9.989,-111.75021,34.8934194,Point
4.806,-111.64138,34.9081155,Point
2.237,-111.5325,34.9227103,Point
3.766,-111.42359,34.9372039,Point
8.501,-111.31463,34.9515962,Point
10.168,-111.20564,34.9658871,Point
12.366,-111.0966,34.9800766,Point
10.673,-110.98752,34.9941646,Point
10.393,-110.87841,35.008151,Point
6.511,-110.76925,35.0220359,Point
2.915,-111.65948,34.9962876,Point
5.658,-111.44145,35.0254068,Point
7.531,-111.33237,35.0398143,Point
8.422,-111.22325,35.0541203,Point
9.052,-111.11409,35.0683249,Point
10.292,-111.00489,35.0824278,Point
6.567,-110.89565,35.0964291,Point
10.656,-110.78637,35.1103287,Point
16.743,-112.33144,34.9945664,Point
14.578,-112.22257,35.0097999,Point
13.57,-112.11367,35.0249322,Point
9.765,-112.00472,35.0399634,Point
9.588,-111.89573,35.0548932,Point
4.672,-111.7867,35.0697218,Point
5.331,-111.5685,35.0990748,Point
6.679,-111.45934,35.1135992,Point
2.925,-111.35015,35.128022,Point
8.41,-111.2409,35.1423432,Point
5.441,-111.13162,35.1565628,Point
6.221,-111.0223,35.1706808,Point
5.197,-110.91294,35.184697,Point
3.295,-110.80354,35.1986115,Point
11.058,-112.24137,35.0978717,Point
8.234,-112.13234,35.1130201,Point
6.466,-112.02327,35.1280671,Point
10.704,-111.91416,35.1430129,Point
9.589,-111.805,35.1578572,Point
7.259,-111.6958,35.1726001,Point
8.213,-111.58656,35.1872414,Point
9.482,-111.47728,35.2017812,Point
9.772,-111.36796,35.2162194,Point
11.755,-111.2586,35.2305559,Point
13.082,-111.1492,35.2447907,Point
11.594,-111.03975,35.2589237,Point
10.424,-110.93027,35.2729549,Point
12.798,-110.82074,35.2868843,Point
14.945,-112.36931,35.170667,Point
11.753,-112.2602,35.1859329,Point
10.204,-112.15105,35.2010973,Point
8.063,-112.04186,35.2161604,Point
5.628,-111.93263,35.2311221,Point
0.273,-111.82335,35.2459822,Point
7.969,-111.71403,35.2607408,Point
11.691,-111.60467,35.2753978,Point
8.862,-111.49526,35.2899531,Point
6.713,-111.38582,35.3044068,Point
2.479,-111.27633,35.3187586,Point
8.202,-111.16681,35.3330086,Point
6.963,-111.05724,35.3471568,Point
3.891,-110.94763,35.361203,Point
3.856,-110.83799,35.3751473,Point
14.003,-112.49749,35.2433181,Point
10.547,-112.3883,35.2587015,Point
10.818,-112.27908,35.2739836,Point
14.46,-112.16981,35.2891643,Point
10.813,-112.06049,35.3042435,Point
8.192,-111.95114,35.3192211,Point
6.144,-111.84174,35.3340971,Point
10.719,-111.7323,35.3488715,Point
3.896,-111.62281,35.3635442,Point
12.141,-111.51329,35.3781151,Point
1.633,-111.40372,35.3925842,Point
0.927,-111.29411,35.4069515,Point
2.942,-111.18446,35.4212168,Point
1.627,-111.07477,35.4353802,Point
4.459,-110.96504,35.4494415,Point
-0.046,-110.85527,35.4634008,Point
11.921,-112.62591,35.3158244,Point
12.981,-112.51665,35.3313258,Point
10.391,-112.40735,35.3467257,Point
12.988,-112.298,35.3620241,Point
14.491,-112.18861,35.377221,Point
14.131,-112.07917,35.3923163,Point
8.636,-111.96969,35.40731,Point
-3.361,-111.86017,35.422202,Point
3.997,-111.75061,35.4369923,Point
4.59,-111.641,35.4516807,Point
5.474,-111.53135,35.4662673,Point
6.481,-111.42166,35.480752,Point
12.526,-111.31193,35.4951347,Point
4.793,-111.20216,35.5094154,Point
3.758,-111.09234,35.523594,Point
2.058,-110.98249,35.5376705,Point
-2.902,-110.87259,35.5516449,Point
-0.638,-110.76266,35.565517,Point
11.578,-112.86388,35.3724652,Point
8.7,-112.75458,35.388186,Point
8.406,-112.64524,35.4038053,Point
12.125,-112.53586,35.4193233,Point
14.959,-112.42643,35.4347397,Point
12.465,-112.31696,35.4500545,Point
12.286,-112.20745,35.4652678,Point
13.67,-112.09789,35.4803793,Point
11.136,-111.98829,35.4953891,Point
9.727,-111.87864,35.5102971,Point
9.159,-111.76896,35.5251033,Point
5.376,-111.65923,35.5398076,Point
8.418,-111.54946,35.5544099,Point
1.079,-111.43964,35.5689102,Point
4.597,-111.32979,35.5833084,Point
3.649,-111.21989,35.5976046,Point
3.769,-111.10995,35.6117986,Point
-0.668,-110.99998,35.6258903,Point
-1.528,-110.88996,35.6398798,Point
-2.973,-110.7799,35.6537669,Point
14.361,-112.99287,35.4445632,Point
15.609,-112.8835,35.4604023,Point
12.883,-112.77408,35.47614,Point
14.605,-112.66462,35.4917761,Point
14.711,-112.55512,35.5073107,Point
17.723,-112.44557,35.5227437,Point
15.93,-112.33597,35.5380751,Point
15.668,-112.22634,35.5533047,Point
13.326,-112.11665,35.5684325,Point
6.891,-112.00693,35.5834585,Point
6.687,-111.89716,35.5983826,Point
8.536,-111.78735,35.6132048,Point
8.509,-111.6775,35.6279249,Point
9.007,-111.5676,35.6425431,Point
1.588,-111.45767,35.6570591,Point
-0.446,-111.34769,35.6714729,Point
0.509,-111.23767,35.6857846,Point
0.975,-111.12761,35.6999939,Point
2.565,-111.0175,35.714101,Point
-1.811,-110.90736,35.7281056,Point
-1.387,-110.79718,35.7420079,Point
14.258,-113.1221,35.5165157,Point
13.344,-113.01265,35.5324733,Point
12.892,-112.90316,35.5483294,Point
13.26,-112.79362,35.564084,Point
19.251,-112.68404,35.579737,Point
16.749,-112.57441,35.5952883,Point
17.639,-112.46474,35.610738,Point
14.322,-112.35502,35.6260859,Point
12.203,-112.24526,35.6413319,Point
10.803,-112.13546,35.6564761,Point
11.824,-112.02561,35.6715184,Point
8.111,-111.91572,35.6864586,Point
3.605,-111.80579,35.7012969,Point
9.414,-111.69581,35.716033,Point
6.554,-111.58579,35.730667,Point
-0.378,-111.47573,35.7451988,Point
-0.551,-111.36563,35.7596283,Point
0.765,-111.25548,35.7739555,Point
0.689,-111.1453,35.7881803,Point
2.791,-111.03507,35.8023027,Point
-2.087,-110.9248,35.8163227,Point
0.3,-110.8145,35.8302401,Point
15.365,-113.25157,35.5883222,Point
14.189,-113.14205,35.6043985,Point
17.074,-113.03248,35.6203733,Point
14.259,-112.92287,35.6362466,Point
13.57,-112.81321,35.6520182,Point
13.964,-112.7035,35.6676881,Point
16.233,-112.59375,35.6832563,Point
12.93,-112.48396,35.6987226,Point
11.653,-112.37412,35.7140871,Point
