spring_delta_ndvi,lon,lat,geometry
1.172,-109.6155722,36.69621589,Point
4.162,-109.5037402,36.7089086,Point
6.856,-109.3918706,36.72149723,Point
0.822,-109.2799637,36.73398172,Point
11.362,-109.1680196,36.74636204,Point
-0.764,-109.0560388,36.75863812,Point
2.122,-109.9673745,36.74581233,Point
2.26,-109.8555287,36.75883167,Point
0.383,-109.7436442,36.77174698,Point
-0.244,-109.6317213,36.7845582,Point
3.362,-109.5197604,36.79726527,Point
3.703,-109.4077616,36.80986816,Point
4.774,-109.2957253,36.82236681,Point
13.199,-109.1836519,36.83476116,Point
-4.639,-109.0715415,36.84705118,Point
1.505,-109.9839489,36.83410453,Point
1.461,-109.8719742,36.84713864,Point
0.735,-109.7599606,36.86006859,Point
-0.484,-109.6479086,36.87289435,Point
0.347,-109.5358183,36.88561586,Point
3.71,-109.4236901,36.89823307,Point
10.933,-109.3115242,36.91074593,Point
-0.093,-109.199321,36.92315439,Point
-5.443,-109.0870808,36.9354584,Point
-0.649,-110.0005624,36.9223906,Point
-0.579,-109.8884584,36.93543952,Point
-1.19,-109.7763156,36.94838419,Point
-0.874,-109.664134,36.96122455,Point
-0.705,-109.5519141,36.97396056,Point
3.99,-109.4396562,36.98659215,Point
0.415,-109.3273605,36.99911929,Point
43.16,-109.7709713,31.34166052,Point
36.347,-109.6665902,31.35458754,Point
36.019,-109.5621758,31.36741655,Point
42.862,-109.4577285,31.38014751,Point
53.931,-109.3532484,31.39278037,Point
53.911,-109.2487358,31.4053151,Point
49.163,-109.144191,31.41775167,Point
26.111,-110.4124659,31.35087941,Point
16.569,-110.3081773,31.3644062,Point
31.337,-110.203854,31.37783512,Point
35.555,-110.0994961,31.39116615,Point
29.77,-109.995104,31.40439923,Point
37.672,-109.8906779,31.41753434,Point
45.95,-109.786218,31.43057143,Point
43.442,-109.6817245,31.44351046,Point
46.42,-109.5771977,31.45635139,Point
42.484,-109.4726378,31.46909419,Point
47.864,-109.368045,31.48173881,Point
55.345,-109.2634196,31.49428521,Point
55.72,-109.1587619,31.50673337,Point
13.569,-109.054072,31.51908323,Point
20.142,-110.4284193,31.43969905,Point
22.624,-110.3240187,31.45323839,Point
28.369,-110.2195834,31.46667979,Point
34.25,-110.1151134,31.48002321,Point
28.729,-110.0106091,31.49326861,Point
34.981,-109.9060706,31.50641594,Point
45.159,-109.8014982,31.51946517,Point
50.641,-109.6968921,31.53241626,Point
48.154,-109.5922526,31.54526917,Point
41.717,-109.4875799,31.55802385,Point
28.105,-109.3828742,31.57068028,Point
52.474,-109.2781358,31.58323841,Point
59.406,-109.173365,31.59569821,Point
33.164,-109.0685619,31.60805963,Point
24.323,-110.4444077,31.52850137,Point
27.046,-110.339895,31.54205332,Point
25.267,-110.2353474,31.55550725,Point
31.277,-110.1307651,31.56886311,Point
31.303,-110.0261482,31.58212087,Point
35.203,-109.9214971,31.59528048,Point
38.928,-109.816812,31.60834191,Point
46.471,-109.7120931,31.62130511,Point
39.12,-109.6073407,31.63417005,Point
30.525,-109.502555,31.64693668,Point
24.101,-109.3977362,31.65960496,Point
31.353,-109.2928845,31.67217487,Point
43.272,-109.1880003,31.68464635,Point
49.923,-109.0830837,31.69701937,Point
35.871,-110.3558063,31.63085116,Point
26.624,-110.2511461,31.64431767,Point
33.998,-110.1464512,31.65768603,Point
36.335,-110.0417216,31.6709562,Point
37.903,-109.9369577,31.68412814,Point
38.504,-109.8321597,31.69720182,Point
39.806,-109.7273277,31.71017718,Point
44.897,-109.6224621,31.72305419,Point
34.036,-109.5175631,31.73583282,Point
25.378,-109.4126309,31.74851301,Point
10.044,-109.202668,31.77357796,Point
38.863,-109.0976377,31.78596264,Point
25.242,-110.3717526,31.71963206,Point
25.249,-110.2669797,31.73311121,Point
37.122,-110.1621719,31.74649212,Point
36.177,-110.0573294,31.75977476,Point
32.934,-109.9524524,31.77295909,Point
33.179,-109.8475412,31.78604506,Point
46.626,-109.7425959,31.79903264,Point
45.632,-109.6376169,31.81192178,Point
40.784,-109.5326044,31.82471245,Point
25.864,-109.4275586,31.8374046,Point
4.593,-109.3224797,31.84999821,Point
11.364,-109.2173681,31.86249322,Point
32.558,-109.1122239,31.87488959,Point
26.14,-110.3877341,31.8083962,Point
33.229,-110.2828483,31.82188804,Point
33.151,-110.1779274,31.83528156,Point
35.133,-110.0729717,31.84857672,Point
22.499,-109.9679814,31.86177348,Point
44.765,-109.8629567,31.8748718,Point
54.503,-109.757898,31.88787165,Point
48.176,-109.6528053,31.90077297,Point
51.713,-109.547679,31.91357574,Point
27.032,-109.4425193,31.9262799,Point
20.173,-109.3373265,31.93888543,Point
20.794,-109.2321008,31.95139228,Point
29.507,-109.1268424,31.96380041,Point
31.146,-110.4037509,31.89714375,Point
30.952,-110.2987519,31.91064832,Point
29.104,-110.1937177,31.9240545,Point
37.716,-110.0886486,31.93736224,Point
17.719,-109.9835447,31.95057149,Point
37.737,-109.8784064,31.96368221,Point
49.696,-109.7732338,31.97669438,Point
53.584,-109.6680273,31.98960794,Point
46.183,-109.562787,32.00242285,Point
40.965,-109.4575132,32.01513908,Point
22.1,-109.3522062,32.02775658,Point
26.069,-109.2468661,32.04027532,Point
25.6,-109.1414933,32.05269526,Point
30.675,-110.4198031,31.98587486,Point
32.382,-110.3146907,31.99939223,Point
37.747,-110.2095429,32.01281112,Point
31.001,-110.1043601,32.02613149,Point
36.437,-109.9991425,32.03935328,Point
46.843,-109.8938903,32.05247646,Point
36.025,-109.7886037,32.065501,Point
51.16,-109.683283,32.07842684,Point
48.863,-109.5779285,32.09125396,Point
36.841,-109.4725404,32.1039823,Point
19.189,-109.3671189,32.11661183,Point
33.543,-109.2616642,32.12914251,Point
26.599,-109.1561767,32.1415743,Point
26.627,-109.0506565,32.15390716,Point
26.776,-110.4358909,32.07458971,Point
36.14,-110.3306648,32.08811993,Point
35.938,-110.2254033,32.10155159,Point
30.998,-110.1201065,32.11488463,Point
35.178,-110.0147748,32.12811902,Point
39.299,-109.9094085,32.14125472,Point
48.174,-109.8040077,32.15429168,Point
51.15,-109.6985726,32.16722986,Point
39.384,-109.5931036,32.18006923,Point
30.648,-109.4876009,32.19280973,Point
40.662,-109.3820647,32.20545134,Point
41.61,-109.2764952,32.21799401,Point
33.198,-109.1708928,32.2304377,Point
40.181,-109.0652576,32.24278238,Point
28.431,-110.3466743,32.17683159,Point
30.159,-110.2412987,32.19027607,Point
30.767,-110.1358879,32.20362185,Point
37.553,-110.0304419,32.21686889,Point
38.068,-109.9249612,32.23001715,Point
34.372,-109.8194458,32.24306658,Point
43.803,-109.7138962,32.25601716,Point
28.08,-109.6083124,32.26886883,Point
37.386,-109.5026949,32.28162155,Point
31.086,-109.3970437,32.29427529,Point
37.771,-109.2913592,32.30683,Point
42.973,-109.1856416,32.31928565,Point
34.763,-109.0798911,32.33164219,Point
27.102,-110.3627194,32.26552738,Point
29.143,-110.2572295,32.27898473,Point
29.397,-110.1517042,32.2923433,Point
23.683,-110.0461438,32.30560304,Point
32.797,-109.9405484,32.31876392,Point
45.241,-109.8349183,32.33182588,Point
53.55,-109.7292538,32.3447889,Point
57.568,-109.6235551,32.35765293,Point
53.32,-109.5178225,32.37041792,Point
42.391,-109.4120561,32.38308384,Point
38.62,-109.3062563,32.39565065,Point
38.858,-109.2004233,32.4081183,Point
38.444,-109.0945573,32.42048676,Point
17.468,-110.3788001,32.35420745,Point
26.379,-110.2731957,32.36767774,Point
27.609,-110.1675558,32.38104915,Point
25.483,-110.0618806,32.39432165,Point
27.053,-109.9561703,32.4074952,Point
38.585,-109.8504253,32.42056975,Point
5.667,-110.8499893,34.28766899,Point
2.575,-111.4254906,34.39335359,Point
8.234,-111.2090685,34.42205874,Point
14.519,-111.1007976,34.43626014,Point
9.927,-111.0097402,34.53867447,Point
9.33,-110.9012699,34.55268868,Point
6.904,-110.7927605,34.56660183,Point
10.452,-111.460999,34.56985111,Point
10.978,-111.3525677,34.58428403,Point
5.533,-111.244096,34.598616,Point
7.216,-111.0270327,34.6269769,Point
7.997,-110.9184416,34.64100574,Point
10.186,-110.8098112,34.65493343,Point
11.163,-111.478814,34.65808263,Point
9.545,-111.3702622,34.67253062,Point
8.726,-111.2616699,34.68687757,Point
10.034,-111.1530373,34.70112343,Point
13.705,-111.0443648,34.71526815,Point
13.47,-110.9356526,34.72931168,Point
21.104,-110.826901,34.74325398,Point
8.71,-111.4966698,34.74630289,Point
9.658,-111.2792839,34.77512801,Point
14.133,-111.1705303,34.78938882,Point
11.708,-111.0617366,34.8035484,Point
12.472,-110.952903,34.81760668,Point
17.461,-110.8440299,34.83156364,Point
10.552,-111.7320306,34.80525192,Point
10.808,-111.6233192,34.81993255,Point
1.834,-111.4057728,34.84899039,Point
9.73,-111.2969383,34.8633675,Point
9.387,-111.1880633,34.87764332,Point
9.656,-111.0791482,34.89181781,Point
9.136,-110.970193,34.90589092,Point
11.084,-110.8611982,34.91986259,Point
12.64,-110.7521639,34.93373278,Point
9.989,-111.7502105,34.89341936,Point
4.806,-111.6413781,34.90811545,Point
2.237,-111.5325042,34.92271033,Point
3.766,-111.4235891,34.93720393,Point
8.501,-111.3146332,34.9515962,Point
10.168,-111.2056366,34.9658871,Point
12.366,-111.0965997,34.98007657,Point
10.673,-110.9875227,34.99416456,Point
10.393,-110.8784058,35.00815102,Point
6.511,-110.7692494,35.0220359,Point
2.915,-111.6594783,34.99628755,Point
5.658,-111.4414464,35.02540679,Point
7.531,-111.3323687,35.0398143,Point
8.422,-111.2232503,35.05412034,Point
9.052,-111.1140914,35.06832485,Point
10.292,-111.0048922,35.08242779,Point
6.567,-110.8956531,35.0964291,Point
10.656,-110.7863742,35.11032873,Point
16.743,-112.3314375,34.99456642,Point
14.578,-112.2225746,35.0097999,Point
13.57,-112.1136687,35.02493223,Point
9.765,-112.00472,35.03996336,Point
9.588,-111.8957289,35.05489324,Point
4.672,-111.7866955,35.06972182,Point
5.331,-111.5685031,35.09907483,Point
6.679,-111.4593447,35.11359916,Point
2.925,-111.350145,35.12802197,Point
8.41,-111.2409045,35.14234322,Point
5.441,-111.1316233,35.15656284,Point
6.221,-111.0223017,35.17068079,Point
5.197,-110.91294,35.18469701,Point
3.295,-110.8035385,35.19861146,Point
11.058,-112.2413658,35.09787168,Point
8.234,-112.1323387,35.11302006,Point
6.466,-112.0232686,35.12806714,Point
10.704,-111.9141559,35.14301286,Point
9.589,-111.8050009,35.15785719,Point
7.259,-111.6958037,35.17260006,Point
8.213,-111.5865647,35.18724142,Point
9.482,-111.4772841,35.20178122,Point
9.772,-111.3679622,35.2162194,Point
11.755,-111.2585993,35.23055591,Point
13.082,-111.1491955,35.24479071,Point
11.594,-111.0397513,35.25892373,Point
10.424,-110.9302668,35.27295493,Point
12.798,-110.8207423,35.28688426,Point
14.945,-112.3693056,35.17066704,Point
11.753,-112.2602002,35.18593286,Point
10.204,-112.1510516,35.20109734,Point
8.063,-112.0418598,35.21616044,Point
5.628,-111.9326253,35.23112208,Point
0.273,-111.8233483,35.24598223,Point
7.969,-111.7140291,35.26074083,Point
11.691,-111.6046678,35.27539781,Point
8.862,-111.4952649,35.28995314,Point
6.713,-111.3858204,35.30440676,Point
2.479,-111.2763348,35.31875861,Point
8.202,-111.1668083,35.33300864,Point
6.963,-111.0572411,35.3471568,Point
3.891,-110.9476336,35.36120304,Point
3.856,-110.8379859,35.37514731,Point
14.003,-112.4974882,35.24331805,Point
10.547,-112.3883049,35.25870152,Point
10.818,-112.2790779,35.27398361,Point
14.46,-112.1698075,35.28916427,Point
10.813,-112.0604938,35.30424345,Point
8.192,-111.9511373,35.31922108,Point
6.144,-111.8417381,35.33409711,Point
10.719,-111.7322964,35.3488715,Point
3.896,-111.6228127,35.36354418,Point
12.141,-111.5132871,35.37811511,Point
1.633,-111.4037199,35.39258422,Point
0.927,-111.2941113,35.40695147,Point
2.942,-111.1844617,35.4212168,Point
1.627,-111.0747713,35.43538017,Point
4.459,-110.9650404,35.44944152,Point
-0.046,-110.8552693,35.46340079,Point
11.921,-112.6259139,35.31582444,Point
12.981,-112.516653,35.33132576,Point
10.391,-112.407348,35.34672567,Point
12.988,-112.2979991,35.36202411,Point
14.491,-112.1886066,35.37722102,Point
14.131,-112.0791708,35.39231634,Point
8.636,-111.9696919,35.40731003,Point
-3.361,-111.8601702,35.42220202,Point
3.997,-111.7506059,35.43699226,Point
4.59,-111.6409994,35.45168071,Point
5.474,-111.5313509,35.46626729,Point
6.481,-111.4216606,35.48075197,Point
12.526,-111.3119289,35.49513469,Point
4.793,-111.202156,35.50941539,Point
3.758,-111.0923421,35.52359403,Point
2.058,-110.9824876,35.53767054,Point
-2.902,-110.8725926,35.55164488,Point
-0.638,-110.7626576,35.565517,Point
11.578,-112.8638762,35.37246516,Point
8.7,-112.7545828,35.38818595,Point
8.406,-112.6452446,35.40380534,Point
12.125,-112.5358619,35.41932327,Point
14.959,-112.4264349,35.43473968,Point
12.465,-112.3169638,35.45005453,Point
12.286,-112.2074491,35.46526775,Point
13.67,-112.0978908,35.4803793,Point
11.136,-111.9882893,35.49538911,Point
9.727,-111.8786448,35.51029712,Point
9.159,-111.7689577,35.52510329,Point
5.376,-111.6592282,35.53980757,Point
8.418,-111.5494565,35.55440988,Point
1.079,-111.4396429,35.56891019,Point
4.597,-111.3297877,35.58330844,Point
3.649,-111.2198911,35.59760458,Point
3.769,-111.1099535,35.61179855,Point
-0.668,-110.9999751,35.6258903,Point
-1.528,-110.8899561,35.63987977,Point
-2.973,-110.7798969,35.65376693,Point
14.361,-112.9928653,35.44456322,Point
15.609,-112.8834953,35.46040231,Point
12.883,-112.7740801,35.47613997,Point
14.605,-112.6646199,35.49177612,Point
14.711,-112.5551151,35.50731073,Point
17.723,-112.4455658,35.52274373,Point
15.93,-112.3359724,35.53807506,Point
15.668,-112.226335,35.55330466,Point
13.326,-112.116654,35.5684325,Point
6.891,-112.0069297,35.58345849,Point
6.687,-111.8971622,35.5983826,Point
8.536,-111.7873519,35.61320477,Point
8.509,-111.677499,35.62792494,Point
9.007,-111.5676039,35.64254305,Point
1.588,-111.4576667,35.65705906,Point
-0.446,-111.3476878,35.67147291,Point
0.509,-111.2376673,35.68578455,Point
0.975,-111.1276057,35.69999391,Point
2.565,-111.0175031,35.71410096,Point
-1.811,-110.9073599,35.72810564,Point
-1.387,-110.7971762,35.74200789,Point
14.258,-113.1220978,35.51651566,Point
13.344,-113.0126515,35.53247326,Point
12.892,-112.9031596,35.54832939,Point
13.26,-112.7936223,35.56408398,Point
19.251,-112.6840399,35.57973698,Point
16.749,-112.5744127,35.59528833,Point
17.639,-112.4647409,35.61073798,Point
14.322,-112.3550248,35.62608586,Point
12.203,-112.2452646,35.64133192,Point
10.803,-112.1354606,35.65647611,Point
11.824,-112.0256131,35.67151837,Point
8.111,-111.9157224,35.68645864,Point
3.605,-111.8057887,35.70129687,Point
9.414,-111.6958122,35.716033,Point
6.554,-111.5857934,35.73066698,Point
-0.378,-111.4757323,35.74519876,Point
-0.551,-111.3656294,35.75962827,Point
0.765,-111.2554848,35.77395547,Point
